suite,dimension,budget,comparison_scope,function,function_class,competitor,reference,n_competitor,n_reference,u_competitor,probability_nea2plus_lower,mean_rank_nea2plus,mean_rank_msc,median_nea2plus,median_msc,p_raw,test_family_size,correction,p_holm,alpha,mwu_symbol
cec2020,10,1000000,all,6,hybrid,NEA2PLUS-PY,MSC-CMA,51,51,1820,0.30026912725874666,61.686274509803923,41.313725490196077,1.2090184746505201,0.99765065899464389,0.00051368843872189474,10,holm-bonferroni,0.002054753754887579,0.05,<
cec2020,10,1000000,all,7,hybrid,NEA2PLUS-PY,MSC-CMA,51,51,1050,0.59630911188004609,46.588235294117652,56.411764705882348,0.71909992888595298,0.82527351238604751,0.094292489168024268,10,holm-bonferroni,0.28287746750407283,0.05,=
cec2020,10,1000000,all,8,composition,NEA2PLUS-PY,MSC-CMA,51,51,2601,0,77,26,11.396522269664274,0,3.2666395319855664e-18,10,holm-bonferroni,2.6133116255884531e-17,0.05,<
cec2020,10,1000000,all,9,composition,NEA2PLUS-PY,MSC-CMA,51,51,2451,0.057670126874279082,74.058823529411768,28.941176470588236,100.00000001389844,0,1.3964842804033132e-14,10,holm-bonferroni,6.9824214020165656e-14,0.05,<
cec2020,10,1000000,all,10,composition,NEA2PLUS-PY,MSC-CMA,51,51,1480,0.43098808150711265,55.019607843137251,47.980392156862749,100.00432330660806,100.00374698602991,0.23091911376669771,10,holm-bonferroni,0.28287746750407283,0.05,=
cec2020,10,1000000,composition,8,composition,NEA2PLUS-PY,MSC-CMA,51,51,2601,0,77,26,11.396522269664274,0,3.2666395319855664e-18,3,holm-bonferroni,9.7999185959566992e-18,0.05,<
cec2020,10,1000000,composition,9,composition,NEA2PLUS-PY,MSC-CMA,51,51,2451,0.057670126874279082,74.058823529411768,28.941176470588236,100.00000001389844,0,1.3964842804033132e-14,3,holm-bonferroni,2.7929685608066264e-14,0.05,<
cec2020,10,1000000,composition,10,composition,NEA2PLUS-PY,MSC-CMA,51,51,1480,0.43098808150711265,55.019607843137251,47.980392156862749,100.00432330660806,100.00374698602991,0.23091911376669771,3,holm-bonferroni,0.23091911376669771,0.05,=
cec2020,15,3000000,all,1,basic,NEA2PLUS-PY,MSC-CMA,51,51,2601,0,77,26,0,0,5.1777011776960296e-20,10,holm-bonferroni,5.1777011776960293e-19,0.05,<
cec2020,15,3000000,all,2,basic,NEA2PLUS-PY,MSC-CMA,51,51,2571,0.011534025374855816,76.411764705882348,26.588235294117649,152.18813209651307,9.1484397720014385,1.8958632896178467e-17,10,holm-bonferroni,1.1375179737707082e-16,0.05,<
cec2020,15,3000000,all,3,basic,NEA2PLUS-PY,MSC-CMA,51,51,2601,0,77,26,8.7773667664740742,1.1311648438606881,3.3036815016661564e-18,10,holm-bonferroni,2.7240446974244014e-17,0.05,<
cec2020,15,3000000,all,4,basic,NEA2PLUS-PY,MSC-CMA,51,51,1,0.99961553248750479,26.019607843137255,76.980392156862735,0.54503324797087771,1.4308192734158638,3.5043165051200882e-18,10,holm-bonferroni,2.7240446974244014e-17,0.05,>
cec2020,15,3000000,all,5,hybrid,NEA2PLUS-PY,MSC-CMA,51,51,2601,0,77,26,84.152183608900486,0.3122350916673895,3.0267163304715573e-18,10,holm-bonferroni,2.7240446974244014e-17,0.05,<
cec2020,15,3000000,all,6,hybrid,NEA2PLUS-PY,MSC-CMA,51,51,644,0.75240292195309499,38.627450980392155,64.372549019607845,1.6341815178254819,1.940018429987731,1.131340052288228e-05,10,holm-bonferroni,1.131340052288228e-05,0.05,>
cec2020,15,3000000,all,7,hybrid,NEA2PLUS-PY,MSC-CMA,51,51,2236,0.14033064206074586,69.843137254901961,33.156862745098039,12.204362951808889,1.0895270060118492,3.9074312779517321e-10,10,holm-bonferroni,7.8148625559034642e-10,0.05,<
cec2020,15,3000000,all,8,composition,NEA2PLUS-PY,MSC-CMA,51,51,2450,0.058054594386774294,74.039215686274503,28.96078431372549,24.246762464747007,0,1.4690131451356379e-14,10,holm-bonferroni,5.3036073698712286e-14,0.05,<
cec2020,15,3000000,all,9,composition,NEA2PLUS-PY,MSC-CMA,51,51,2553,0.018454440599769306,76.058823529411768,26.941176470588236,100.00000002310071,100.00000000004229,5.3182182848914186e-17,10,holm-bonferroni,2.6591091424457092e-16,0.05,<
cec2020,15,3000000,all,10,composition,NEA2PLUS-PY,MSC-CMA,51,51,2452,0.05728565936178398,74.078431372549019,28.921568627450981,400.00000001520175,100.00731846890176,1.3259018424678072e-14,10,holm-bonferroni,5.3036073698712286e-14,0.05,<
