suite,dimension,budget,comparison_scope,function,function_class,competitor,reference,n_competitor,n_reference,u_competitor,probability_competitor_lower,mean_rank_competitor,mean_rank_msc,median_competitor,median_msc,p_raw,test_family_size,correction,p_holm,alpha,mwu_symbol
cec2014,30,300000,all,30,composition,CMAES-NBC,MSC-CMA,51,51,0,1,26,77,200,1271.6868858291928,1.3905886961424435e-20,30,holm-bonferroni,3.7636894147611422e-19,0.05,>
cec2014,30,300000,composition,23,composition,CMAES-NBC,MSC-CMA,51,51,0,1,26,77,200,315.24410218556568,1.5538428930779813e-23,8,holm-bonferroni,1.2430743144623851e-22,0.05,>
cec2014,30,300000,composition,24,composition,CMAES-NBC,MSC-CMA,51,51,816,0.68627450980392157,42,61,200,200.00730954931169,0.00053447764766718475,8,holm-bonferroni,0.00053447764766718475,0.05,>
cec2014,30,300000,composition,25,composition,CMAES-NBC,MSC-CMA,51,51,0,1,26,77,200,202.91843469453215,1.3905886961424435e-20,8,holm-bonferroni,9.7341208729971051e-20,0.05,>
cec2014,30,300000,composition,26,composition,CMAES-NBC,MSC-CMA,51,51,167,0.93579392541330253,29.274509803921568,73.725490196078425,100.118823311325,100.32248353750947,3.3807839713283267e-14,8,holm-bonferroni,6.7615679426566533e-14,0.05,>
cec2014,30,300000,composition,27,composition,CMAES-NBC,MSC-CMA,51,51,0,1,26,77,200,347.79609530682728,1.3905886961424435e-20,8,holm-bonferroni,9.7341208729971051e-20,0.05,>
cec2014,30,300000,composition,28,composition,CMAES-NBC,MSC-CMA,51,51,0,1,26,77,200,779.35568126672024,1.3905886961424435e-20,8,holm-bonferroni,9.7341208729971051e-20,0.05,>
cec2014,30,300000,composition,29,composition,CMAES-NBC,MSC-CMA,51,51,0,1,26,77,200,1112.8344739193062,1.3905886961424435e-20,8,holm-bonferroni,9.7341208729971051e-20,0.05,>
cec2014,30,300000,composition,30,composition,CMAES-NBC,MSC-CMA,51,51,0,1,26,77,200,1271.6868858291928,1.3905886961424435e-20,8,holm-bonferroni,9.7341208729971051e-20,0.05,>
cec2017,10,100000,all,1,basic,CMAES-NBC,MSC-CMA,51,51,25.5,0.99019607843137258,26.5,76.5,0,2.3741932864140836e-08,5.2901810024806998e-20,29,holm-bonferroni,1.481250680694596e-18,0.05,>
cec2017,10,100000,all,3,basic,CMAES-NBC,MSC-CMA,51,51,867,0.66666666666666674,43,60,0,0,7.147198956769631e-06,29,holm-bonferroni,5.7177591654157048e-05,0.05,>
cec2017,10,100000,all,4,basic,CMAES-NBC,MSC-CMA,51,51,586.5,0.77450980392156865,37.5,65.5,0,0,1.0856724010907245e-09,29,holm-bonferroni,1.4113741214179418e-08,0.05,>
cec2017,10,100000,all,5,basic,CMAES-NBC,MSC-CMA,51,51,279,0.89273356401384085,31.470588235294116,71.529411764705884,0,1.9899181141865938,1.0393915575082859e-12,29,holm-bonferroni,1.5590873362624288e-11,0.05,>
