suite,dimension,budget,scope,position_average,position_min,position_max,position_label,position_interval,tie_size,dense_group,algorithm,rank_sum2,mean_dsc_rank,k,n_functions,omnibus_method,omnibus_statistic,omnibus_p_value,omnibus_message,dsc_status,posthoc_control,posthoc_holm_p
cec2020,5,1000000,all,2.5,2,3,2.5/7,2-3/7 (tie),2,2,ARRDE,62,3.1,7,10,friedman,15.867857142857146,0.014481081961988163,The null hypothesis is rejected.,,,
cec2020,5,1000000,all,2.5,2,3,2.5/7,2-3/7 (tie),2,2,NLSHADE-RSP,62,3.1,7,10,friedman,15.867857142857146,0.014481081961988163,The null hypothesis is rejected.,,,
cec2020,5,1000000,all,4.0,4,4,4/7,4/7,1,3,BIPOP-CMA,78,3.9,7,10,friedman,15.867857142857146,0.014481081961988163,The null hypothesis is rejected.,,,
cec2020,5,1000000,all,5.0,5,5,5/7,5/7,1,4,MSC-CMA,86,4.3,7,10,friedman,15.867857142857146,0.014481081961988163,The null hypothesis is rejected.,,,
cec2020,5,1000000,all,6.0,6,6,6/7,6/7,1,5,jSO,88,4.4,7,10,friedman,15.867857142857146,0.014481081961988163,The null hypothesis is rejected.,,,
cec2020,5,1000000,all,7.0,7,7,7/7,7/7,1,6,LSRTDE,123,6.15,7,10,friedman,15.867857142857146,0.014481081961988163,The null hypothesis is rejected.,,,
cec2020,5,1000000,composition,1.0,1,1,1/7,1/7,1,1,MSC-CMA,12,2.0,7,3,friedman,10.678571428571413,0.09883323846067693,The null hypothesis is not rejected.,,,
cec2020,5,1000000,composition,2.0,2,2,2/7,2/7,1,2,ARRDE,16,2.6666666666666665,7,3,friedman,10.678571428571413,0.09883323846067693,The null hypothesis is not rejected.,,,
cec2020,5,1000000,composition,3.0,3,3,3/7,3/7,1,3,j2020,18,3.0,7,3,friedman,10.678571428571413,0.09883323846067693,The null hypothesis is not rejected.,,,
cec2020,5,1000000,composition,4.0,4,4,4/7,4/7,1,4,NLSHADE-RSP,22,3.6666666666666665,7,3,friedman,10.678571428571413,0.09883323846067693,The null hypothesis is not rejected.,,,
cec2020,5,1000000,composition,5.0,5,5,5/7,5/7,1,5,BIPOP-CMA,26,4.333333333333333,7,3,friedman,10.678571428571413,0.09883323846067693,The null hypothesis is not rejected.,,,
cec2020,5,1000000,composition,6.0,6,6,6/7,6/7,1,6,jSO,35,5.833333333333333,7,3,friedman,10.678571428571413,0.09883323846067693,The null hypothesis is not rejected.,,,
cec2020,5,1000000,composition,7.0,7,7,7/7,7/7,1,7,LSRTDE,39,6.5,7,3,friedman,10.678571428571413,0.09883323846067693,The null hypothesis is not rejected.,,,
cec2020,10,1000000,all,1.0,1,1,1/7,1/7,1,1,j2020,53,2.65,7,10,friedman,17.528571428571443,0.007524912818037799,The null hypothesis is rejected.,≈,j2020,
cec2020,10,1000000,all,2.0,2,2,2/7,2/7,1,2,NLSHADE-RSP,64,3.2,7,10,friedman,17.528571428571443,0.007524912818037799,The null hypothesis is rejected.,≈,j2020,0.7030748736693107
cec2020,10,1000000,all,3.0,3,3,3/7,3/7,1,3,MSC-CMA,66,3.3,7,10,friedman,17.528571428571443,0.007524912818037799,The null hypothesis is rejected.,≈,j2020,0.7030748736693107
cec2020,10,1000000,all,4.0,4,4,4/7,4/7,1,4,ARRDE,67,3.35,7,10,friedman,17.528571428571443,0.007524912818037799,The null hypothesis is rejected.,≈,j2020,0.7030748736693107
