suite,dimension,budget,function,function_class,reference,opponent,n_reference,n_opponent,u_reference,probability_conly_lower,median_conly,median_opponent,p_raw,bonferroni_family_size,p_bonferroni,alpha,decision
cec2020,5,50000,9,composition,MSC-CMA-Conly,BIPOP-CMA,51,51,405,0.84429065743944642,5.5933924159035087e-11,100.00000000000091,2.0309168334380927e-09,3,6.0927505003142776e-09,0.05,conly better
cec2020,5,50000,10,composition,MSC-CMA-Conly,BIPOP-CMA,51,51,102,0.96078431372549022,8.8675733422860503e-11,347.36691593518754,5.811906675698531e-16,3,1.7435720027095594e-15,0.05,conly better
cec2020,5,50000,8,composition,MSC-CMA-Conly,LSRTDE,51,51,2145.5,0.17512495194156097,6.605985963546118,0,4.9764715981259669e-09,3,1.4929414794377899e-08,0.05,opponent better
cec2020,5,50000,9,composition,MSC-CMA-Conly,LSRTDE,51,51,0,1,5.5933924159035087e-11,100,1.9859418142720468e-20,3,5.9578254428161401e-20,0.05,conly better
cec2020,5,50000,10,composition,MSC-CMA-Conly,LSRTDE,51,51,0,1,8.8675733422860503e-11,347.36691593518754,5.620371323955824e-19,3,1.6861113971867471e-18,0.05,conly better
cec2020,5,50000,8,composition,MSC-CMA-Conly,NLSHADE-RSP,51,51,2601,0,6.605985963546118,0,1.3350711933529992e-20,3,4.0052135800589974e-20,0.05,opponent better
cec2020,5,50000,9,composition,MSC-CMA-Conly,NLSHADE-RSP,51,51,2448,0.058823529411764719,5.5933924159035087e-11,0,5.0306323507627096e-16,3,1.5091897052288129e-15,0.05,opponent better
cec2020,5,50000,10,composition,MSC-CMA-Conly,NLSHADE-RSP,51,51,490,0.81161091887735481,8.8675733422860503e-11,300,5.0924128239645514e-08,3,1.5277238471893655e-07,0.05,conly better
cec2020,5,50000,8,composition,MSC-CMA-Conly,j2020,51,51,1815,0.30219146482122261,6.605985963546118,9.5496943686157465e-12,0.00056656675436434281,3,0.0016997002630930284,0.05,opponent better
cec2020,5,50000,9,composition,MSC-CMA-Conly,j2020,51,51,549.5,0.78873510188389084,5.5933924159035087e-11,0.0057097558446912444,4.9980376180996652e-07,3,1.4994112854298995e-06,0.05,conly better
cec2020,5,50000,10,composition,MSC-CMA-Conly,j2020,51,51,291,0.88811995386389853,8.8675733422860503e-11,100.12322468347429,1.4461037671549077e-11,3,4.3383113014647227e-11,0.05,conly better
cec2020,5,50000,8,composition,MSC-CMA-Conly,jSO,51,51,2598,0.0011534025374856371,6.605985963546118,0,4.4730610157664079e-20,3,1.3419183047299224e-19,0.05,opponent better
cec2020,5,50000,9,composition,MSC-CMA-Conly,jSO,51,51,0,1,5.5933924159035087e-11,100,2.7839362634539284e-20,3,8.3518087903617852e-20,0.05,conly better
cec2020,5,50000,10,composition,MSC-CMA-Conly,jSO,51,51,0,1,8.8675733422860503e-11,347.36691593518754,1.9875994101494602e-20,3,5.9627982304483807e-20,0.05,conly better
cec2020,5,50000,8,composition,MSC-CMA-Conly,NEA2PLUS-PY,51,51,1098,0.57785467128027679,6.605985963546118,6.6059859647452868,0.17622257378319761,3,0.52866772134959283,0.05,not significant
cec2020,5,50000,9,composition,MSC-CMA-Conly,NEA2PLUS-PY,51,51,0,1,5.5933924159035087e-11,3.3166998036904261e-08,3.3008180394500405e-18,3,9.9024541183501211e-18,0.05,conly better
cec2020,5,50000,10,composition,MSC-CMA-Conly,NEA2PLUS-PY,51,51,305,0.88273740868896577,8.8675733422860503e-11,100.00309190610733,2.7520477909354502e-11,3,8.2561433728063505e-11,0.05,conly better
cec2020,10,1000000,8,composition,MSC-CMA-Conly,MSC-CMA,51,51,1406,0.45943867743175704,9.5496943686157465e-12,8.6401996668428183e-12,0.4819338223830798,3,1,0.05,not significant
cec2020,10,1000000,9,composition,MSC-CMA-Conly,MSC-CMA,51,51,1162.5,0.55305651672433687,1.90084392670542e-10,2.0691004465334117e-10,0.35742725076248949,3,1,0.05,not significant
cec2020,10,1000000,10,composition,MSC-CMA-Conly,MSC-CMA,51,51,1022,0.6070742022299116,100.00167748874992,100.00374698602991,0.062804551424684898,3,0.18841365427405471,0.05,not significant
cec2020,10,1000000,8,composition,MSC-CMA-Conly,ARRDE,51,51,714,0.72549019607843135,9.5496943686157465e-12,19.8069123918267,8.6377340597986111e-05,3,0.00025913202179395832,0.05,conly better
cec2020,10,1000000,9,composition,MSC-CMA-Conly,ARRDE,51,51,459,0.82352941176470584,1.90084392670542e-10,100.00000000000045,1.2079669553096997e-08,3,3.6239008659290993e-08,0.05,conly better
